ID_W;ID_H;nfm;C5;E1_36B
1994;11003;3;23;
1994;11004;5;52;
1994;11005;3;21,5;
1994;11006;4;19;
1994;11007;1;0;
1994;11008;4;0;
1994;11009;1;0;
1994;11010;4;24;
1994;12001;7;46;
1994;12002;4;31,6;
1994;12003;4;24,5;
1994;12004;1;32,9;
1994;12005;3;47;
1994;12006;1;16,5;
1994;12007;3;32;
1994;12008;1;17,6;
1994;12009;2;32,1;
1994;12010;1;26,8;
1994;12011;2;19,6;0,4
1994;12012;4;31,5;0,2
1994;12013;2;31,5;
1994;12014;5;46,6;0,2
1994;12015;3;46,1;
1994;12016;3;19;
1994;12017;4;28;0,5
1994;12018;2;27;
1994;12020;3;45;
1994;12021;1;26;
1994;12022;3;27;
1994;12023;2;27;
1994;12024;2;28;
1994;12025;3;28;
1994;12026;1;15,7;
1994;12027;2;18;
1994;12028;1;13;
1994;12029;4;29;
1994;12030;1;15;
1994;12031;4;28;
1994;12032;1;24;
1994;12033;2;36;
1994;12034;4;34;
1994;12035;1;34;
1994;12037;10;30;
1994;12038;4;34;
1994;12039;5;36;
1994;12040;2;24;
1994;12041;2;0;
1994;12042;3;0;
1994;12043;1;18,4;
1994;12044;1;0;
1994;12045;3;0;
1994;12046;1;0;
1994;12047;2;0;
1994;12048;2;0;
1994;12049;1;54;
1994;12050;2;0;
1994;12051;1;28;
1994;12052;3;18;
1994;12053;3;28;
1994;12055;3;18;
1994;12056;2;28;
1994;12057;1;28;
1994;12058;3;16;
1994;12059;4;16;
1994;12060;1;18;
1994;12061;3;19;
1994;12062;2;30;
1994;12063;5;56;
1994;12065;2;32;
1994;12066;2;13;
1994;12067;1;12,8;
1994;12068;1;32;
1994;12069;3;45;
1994;12070;2;22;
1994;12071;2;19,2;
1994;12072;4;28;
1994;12073;5;40;
1994;12074;4;30;
1994;12075;1;16;
1994;12076;4;19,8;
1994;12077;1;19,5;
1994;12078;4;19;
1994;12079;1;18;
1994;12080;5;28;
1994;12081;5;36;1
1994;12083;1;16;
1994;12085;5;50;
1994;12086;2;30;
1994;12087;1;28;
1994;12088;3;52;
1994;12089;2;39;0,5
1994;12090;1;29;
1994;12091;2;29;
1994;12092;2;34;
1994;13001;3;43;
1994;13002;5;40;
1994;13003;4;29;
1994;13004;10;45;
1994;13005;4;22;
1994;13006;4;32;
1994;13007;4;24;
1994;13008;1;16;0,5
1994;13009;1;14;
1994;13010;3;22;
1994;14001;2;32;
1994;14002;1;16;
1994;14003;2;25;
1994;14004;5;37;
1994;14005;2;28,4;
1994;14006;3;60;
1994;14008;4;22;
1994;14010;4;42;
1994;15001;2;45;
1994;15002;3;50;
1994;15003;3;60;2
1994;15004;2;54;
1994;15005;2;60;
1994;15006;3;42;
1994;15007;2;41;
1994;15008;2;54;
1994;15009;3;36;
1994;15010;2;54;
1994;16001;5;48;
1994;16002;2;48;
1994;16003;2;66;
1994;16004;3;0;0,25
1994;16005;1;44;
1994;16006;3;48;
1994;16007;2;36;
1994;16008;2;54;
1994;16009;3;48;
1994;16010;3;48;
1994;17001;1;30;
1994;17002;1;15;
1994;17003;2;30;
1994;17004;1;4;
1994;17005;2;60;
1994;17006;4;47;
1994;17007;1;10;
1994;17008;2;36;
1994;17009;4;40;1
1994;17010;4;20;
1994;18001;1;28;
1994;18002;1;28;
1994;18003;3;32;
1994;18004;1;18;
1994;18005;2;32;
1994;18006;6;96;
1994;18007;3;35;
1994;18009;1;21;
1994;18010;4;32;
1994;19001;3;20;
1994;19002;1;42;
1994;19003;2;38;
1994;19004;3;35;
1994;19005;3;49;
1994;19006;4;20;
1994;19007;4;55;
1994;19008;3;30;
1994;19009;3;50;1
1994;19010;3;48;
1994;20001;1;32;
1994;20002;3;39;
1994;20003;1;24;
1994;20004;4;60;
1994;20005;1;20;
1994;20006;1;26;
1994;20007;3;18;
1994;20008;4;42;
1994;20009;6;42;
1994;20010;4;36;
1994;21001;2;36;
1994;21003;2;24;
1994;21004;3;60;
1994;21005;2;40;
1994;22002;2;48;
1994;22003;2;35;
1994;22004;1;12;
1994;23001;1;35;
1994;24001;1;30;
1994;24002;2;20;
1994;24003;2;36;
1994;24004;1;30;
1994;25001;2;28;
1994;25002;2;9;
1994;25003;2;28;
1994;26001;2;36;
1994;26002;1;16;
1994;26003;1;40;
1994;27001;1;60;
1994;28001;1;91;
1994;29001;1;52;
1994;29002;1;48;
1994;29003;2;45;
1994;30001;1;40;
1994;30002;2;36;
1994;30003;1;48;
1994;31001;2;60;
1994;32001;2;60;
1994;33001;2;32;
1994;33002;2;31,2;
1994;33003;1;30;
1994;33004;4;40;
1994;33007;2;29,3;
1994;33008;2;35;
1994;33009;4;41,3;
1994;33010;3;41,3;
1994;33011;3;40;
1994;33012;4;18;
1994;33013;4;18,5;
1994;33014;4;18;0
1994;33015;3;18;
1994;33016;4;18;0,2
1994;33017;2;18;
1994;33018;4;18;
1994;33020;3;18;
1994;33021;5;23;
1994;33022;3;31,9;
1994;33023;4;30;
1994;33024;1;0;
1994;33025;4;37;
1994;33026;3;17;1
1994;33027;2;43;
1994;33029;2;30,2;
1994;33030;2;0;
1994;33031;3;35;
1994;33032;3;16;
1994;33033;2;31;
1994;33034;3;16;
1994;33035;3;29;1
1994;33037;2;29;
1994;33038;4;0;
1994;33039;2;29;0,3
1994;33041;3;32;
1994;33042;6;40;
1994;33043;2;39;
1994;33044;3;26;
1994;33045;4;38;
1994;33046;1;23,8;
1994;33047;2;27;
1994;33048;5;41;
1994;33049;3;47,5;
1994;33050;2;22;
1994;33051;8;90;
1994;33052;1;30;
1994;33053;3;23;
1994;33054;2;25;
1994;33055;3;35;
1994;33056;4;25;
1994;33057;6;42;
1994;33058;2;39;
1994;33059;1;12,4;
1994;33060;1;0;
1994;33061;2;40;
1994;33062;2;30;
1994;33063;3;20;
1994;33064;2;25;
1994;33065;4;40;
1994;33066;4;29;
1994;33067;4;32;
1994;33068;2;40;
1994;33069;2;35;
1994;33070;2;30;
1994;34001;1;50;
1994;34002;2;60;
1994;34003;2;20;
1994;34004;7;44;
1994;34005;2;32;
1994;34006;1;28;
1994;34007;3;45;
1994;34008;2;50;
1994;34009;1;20;
1994;34010;1;40;
1994;35001;1;22;
1994;35002;1;20;
1994;35003;1;36;
1994;35004;1;18;
1994;35005;1;48;
1994;35006;1;30;
1994;35007;3;51,9;
1994;35008;1;20;
1994;35009;2;40;
1994;35010;5;48;
1994;36001;5;39;
1994;36003;2;30;
1994;36004;2;28;
1994;37001;1;28;
1994;37002;2;45;
1994;38001;4;48;
1994;38002;3;40;
1994;39001;4;39;
1994;39002;4;24,5;
1994;39003;2;19,7;
1994;39004;4;24;
1994;39005;1;35;
1994;39006;3;30;
1994;39007;2;48;
1994;39008;3;32;
1994;39009;2;40;0,5
1994;39010;2;55;
1994;39011;7;42;
1994;39012;3;32;
1994;39013;4;43,6;
1994;39014;4;19,9;
1994;39015;2;68;
1994;39016;1;24,6;
1994;39017;4;24,8;0,2
1994;39018;2;25,5;
1994;39019;4;25,1;
1994;39020;4;28,9;
1994;39021;4;42;
1994;39022;2;52;
1994;39023;3;27;
1994;39024;3;45;
1994;39025;3;30;
1994;39026;4;24;
1994;39027;4;28;
1994;39028;5;48;
1994;39029;3;19;
1994;39030;3;27;
1994;39031;1;21,4;
1994;39032;2;36;
1994;39033;4;37;0,5
1994;39034;3;20;0,2
1994;39035;1;30;
1994;39036;3;44,4;
1994;39037;2;33;
1994;39038;3;47,9;
1994;39039;2;20,5;
1994;39040;2;26,8;
1994;39041;4;64;0,5
1994;39042;1;15,1;
1994;39043;3;39,5;
1994;39044;3;45,6;
1994;39045;1;23,23;
1994;39046;4;64,4;1
1994;39047;4;45;
1994;39048;3;64;0,3
1994;39049;3;66,6;1
1994;39050;4;68;1
1994;40001;3;84;
1994;40002;4;10;
1994;40003;2;40;
1994;40004;4;25;
1994;40005;3;40;
1994;40006;2;56;
1994;40007;4;50;1
1994;40008;4;50;
1994;40009;4;54;
1994;40010;2;24;
1994;41001;2;25;
1994;41002;4;40;
1994;41003;3;26,7;
